CNPJ,ESPECIALIDADE,ESTABELECIMENTO
847179000117,Brasileira | Cozinha regional,Restaurante
848817000114,Alemã | Brasileira | Italiana,Similar
849393000102,Cozinha regional,Restaurante
855741000154,Brasileira,Restaurante
860723000160,Cozinha regional,Restaurante
860951000130,Brasileira,Restaurante
861041000172,Brasileira,Restaurante
867203000180,Árabe,Restaurante
867999000170,Cozinha regional,Similar
871256000174,Brasileira,Restaurante
873989000148,Brasileira,Restaurante
874830000148,Chinesa | Japonesa,Restaurante
881021000163,Cozinha regional | Portuguesa,Restaurante
883424000141,Brasileira,Restaurante
883975000105,Italiana,Restaurante
883975000296,Italiana,Similar
884794000101,Brasileira,Restaurante
885876000162,Brasileira,Bar
889782000161,Brasileira,Cafeteria
889858000159,Brasileira | Cozinha regional,Restaurante
893166000184,Brasileira,Restaurante
893166000184,Brasileira | Cozinha regional,Restaurante
894641000137,Brasileira | Cozinha regional | Italiana,Cafeteria
898335000179,Portuguesa,Restaurante
899490000100,Italiana | Árabe,Restaurante
899494000198,Italiana | Árabe,Restaurante
900578000102,Brasileira,Similar
902733000111,Brasileira,Restaurante
904034000100,Alemã,Similar
906825000170,Brasileira,Cafeteria
908799000119,Italiana,Restaurante
912112000119,Cozinha regional,Restaurante
912398000132,Cozinha regional,Restaurante
912929000197,Italiana | Árabe,Restaurante
916856000101,Brasileira,Similar
920509000152,Cozinha regional,Bar
930023000103,Brasileira | Italiana | Japonesa,Restaurante
932072000177,Brasileira,Bar
934922000176,Brasileira,Restaurante
936254000116,Brasileira | Cozinha regional,Restaurante
937804000111,Brasileira,Restaurante
938877000128,Brasileira | Italiana,Similar
939190000107,Italiana,Restaurante
939568000172,Brasileira,Similar
941379000134,Brasileira | Italiana,Restaurante
942272000100,Brasileira,Restaurante
942689000173,Brasileira,Bar
943010000160,Brasileira,Restaurante
943206000155,Chinesa | Cozinha regional,Similar
945223000121,Brasileira,Similar
949044000162,Brasileira,Restaurante
954266000173,Brasileira,Restaurante
958664000168,Brasileira,Restaurante
961770000109,Brasileira,Similar
966053000161,Brasileira,Restaurante
966157000176,Brasileira | Cozinha regional,Restaurante
966287000109,Brasileira,Restaurante
966446000175,Brasileira | Cozinha regional,Restaurante
966464000157,Brasileira,Restaurante
967596000101,Cozinha regional,Restaurante
968561000189,Brasileira,Restaurante
970717000166,Alemã,Bar
972919000147,Cozinha regional,Restaurante
975689000170,Brasileira,Cafeteria
975830000134,Cozinha regional,Restaurante
979876000121,Brasileira,Restaurante
982778000143,Brasileira,Similar
983056000103,Brasileira | Cozinha regional,Restaurante
987902000163,Brasileira | Italiana,Restaurante
988496000153,Brasileira,Restaurante
989563000154,Brasileira | Cozinha regional | Italiana,Restaurante
989837000105,Brasileira,Restaurante
990327000158,Brasileira | Cozinha regional,Cafeteria
991423000110,Cozinha regional,Similar
992122000101,Francesa,Restaurante
993533000111,Brasileira | Cozinha regional,Restaurante
994758000192,Brasileira,Restaurante
997877000107,Brasileira | Cozinha regional,Restaurante
997916000168,Brasileira,Restaurante
998496000134,Brasileira,Similar
1000181000119,Brasileira,Similar
1002248000154,Brasileira | Cozinha regional,Restaurante
1002568000104,Alemã,Cafeteria
1002727000170,Italiana,Similar
1007425000195,Brasileira | Cozinha regional,Restaurante
1007816000100,Alemã | Cozinha regional | Italiana,Restaurante
1008039000118,Brasileira,Similar
1009348000102,Francesa,Restaurante
1014573000137,Brasileira,Restaurante
1017578000113,Brasileira,Cafeteria
1019828000154,Brasileira | Cozinha regional,Restaurante
1020616000197,Brasileira,Restaurante
1021663000155,Brasileira,Restaurante
1022978000117,Italiana | Árabe,Restaurante
1029886000169,Brasileira | Cozinha regional,Restaurante
1031452000101,Cozinha regional,Restaurante
1032295000140,Brasileira,Restaurante
1033670000177,Brasileira | Espanhola | Italiana,Restaurante
1033989000100,Brasileira,Restaurante
1034591000180,Brasileira | Cozinha regional,Bar
1035844000130,Brasileira,Restaurante
1036337000111,Italiana,Restaurante
1036337000111,Portuguesa,Restaurante
1038133000110,Brasileira | Cozinha regional,Restaurante
1039865000205,Americana | Brasileira,Restaurante
1039865000639,Brasileira,Similar
1040391000130,Brasileira,Restaurante
1043114000181,Brasileira | Cozinha regional,Restaurante
1043159000156,Brasileira | Cozinha regional | Italiana,Similar
1047648000186,Brasileira,Restaurante
1047793000167,Americana,Restaurante
1052089000100,Brasileira,Restaurante
1052517000197,Brasileira,Restaurante
1061088000114,Brasileira,Similar
1061991000185,Brasileira,Restaurante
1062891000173,Brasileira,Similar
1065350000107,Brasileira,Restaurante
1068334000160,Cozinha regional,Restaurante
1070884000113,Brasileira,Restaurante
1074302000177,Brasileira,Restaurante
1075567000190,Brasileira,Similar
1076408000100,Cozinha regional,Restaurante
1076451000175,Brasileira,Restaurante
1077953000110,Brasileira | Cozinha regional,Restaurante
1077953000110,Cozinha regional,Restaurante
1080519000190,Brasileira | Árabe,Restaurante
1081429000113,Brasileira | Italiana | Portuguesa,Restaurante
1082080000134,Brasileira,Restaurante
1083241000104,Cozinha regional | Italiana,Restaurante
1083422000130,Americana | Brasileira | Cozinha regional,Restaurante
1083566000197,Brasileira,Restaurante
1084728000101,Brasileira,Restaurante
1085428000147,Cozinha regional,Similar
1087209000105,Brasileira,Similar
1089235000164,Argentina | Brasileira,Restaurante
1093811000147,Brasileira | Cozinha regional | Italiana,Restaurante
1094201000168,Brasileira | Cozinha regional,Restaurante
1095224000197,Cozinha regional,Restaurante
1095461000158,Brasileira | Italiana,Restaurante
1097800000135,Asiática,Restaurante
1101102000166,Brasileira,Restaurante
1104001000149,Italiana,Restaurante
