CNPJ,ESTABELECIMENTO
2223966003643,Restaurante
2223966004372,Restaurante
2223966004453,Restaurante
2223966006588,Restaurante
2223966008017,Restaurante
2223966009170,Restaurante
2223966010348,Restaurante
2223966013010,Restaurante
2224005000123,Similar
2229101000164,Restaurante
2229143000103,Restaurante
2238702000214,Restaurante
2240411000180,Restaurante
2242946000190,Restaurante
2244229000105,Bar
2247069000140,Similar
2247132000229,Restaurante
2249716000152,Restaurante
2249716000586,Restaurante
2266042000102,Restaurante
2281214000109,Restaurante
2282183000100,Restaurante
2286009000136,Restaurante
2292883000186,Restaurante
2294978000139,Restaurante
2295998000124,Restaurante
2301599000129,Restaurante
2307689000127,Restaurante
2308948000134,Restaurante
2309695000113,Restaurante
2311845000123,Restaurante
2315727000193,Restaurante
2318956000161,Restaurante
2318956000323,Restaurante
2318956000404,Restaurante
2318956000595,Restaurante
2318956000676,Bar
2318956000757,Restaurante
2318956000838,Restaurante
2318956000919,Restaurante
2318956001133,Restaurante
2318956001214,Restaurante
2318956001303,Restaurante
2318956001486,Restaurante
2319114000124,Restaurante
2320561000101,Cafeteria
2322244000116,Cafeteria
2325010000122,Restaurante
2335500000100,Restaurante
2343543000137,Similar
2352976000159,Restaurante
2353738000168,Restaurante
2353738000591,Restaurante
2353738000672,Restaurante
2353738000753,Restaurante
2358513000102,Restaurante
2367426000103,Restaurante
2369015000157,Similar
2372204000189,Restaurante
2372308000193,Restaurante
2376227000161,Restaurante
2377047000102,Similar
2382082000101,Restaurante
2382260000102,Restaurante
2382980000160,Restaurante
2385717000124,Restaurante
2388047000108,Restaurante
2391612000188,Cafeteria
2394979000236,Restaurante
2402077000113,Restaurante
2403403000107,Restaurante
2403417000120,Similar
2413162000187,Restaurante
2418222000154,Restaurante
2419765002482,Restaurante
2421598000118,Bar
2422440000162,Restaurante
2426919000177,Similar
2427058000141,Restaurante
2428412000152,Restaurante
2436112000115,Bar
2441439000185,Restaurante
2444078000120,Restaurante
2448859000193,Restaurante
2451332000118,Restaurante
2455909000160,Bar
2456583000195,Restaurante
2457793000106,Restaurante
2467182000130,Restaurante
2469220000194,Cafeteria
2472838000103,Restaurante
2481828000134,Restaurante
2484060000152,Restaurante
2487119000166,Similar
2488673000168,Similar
2496102000175,Restaurante
2497020000145,Restaurante
2498309000189,Similar
2500231000190,Restaurante
2509372000173,Restaurante
2509375000107,Restaurante
2509375000298,Restaurante
2511744000104,Restaurante
2511780000160,Restaurante
2512110000168,Restaurante
2515642000159,Restaurante
2520126000112,Restaurante
2520148000182,Restaurante
2520148000263,Restaurante
2520148000697,Restaurante
2520148000778,Restaurante
2526318000136,Restaurante
2528298000132,Restaurante
2529496000110,Cafeteria
2531527000178,Restaurante
2532703000196,Restaurante
2534263000106,Restaurante
2535628000117,Similar
2543381000180,Restaurante
2554952000182,Restaurante
2556344000107,Restaurante
2559562000286,Similar
2559645000194,Restaurante
2563988000122,Restaurante
2565157000190,Restaurante
2567094000100,Bar
2570948000108,Restaurante
2571765000107,Restaurante
2577631000101,Restaurante
2583307000198,Restaurante
2583307000430,Restaurante
2583307000511,Restaurante
2583307000783,Restaurante
2583307000864,Restaurante
2583307000945,Restaurante
2583307001089,Restaurante
2583307001160,Restaurante
2584281000100,Restaurante
2587528000134,Restaurante
2589899000155,Cafeteria
2592512000110,Restaurante
2599582000108,Restaurante
2615790000145,Restaurante
2617053000181,Restaurante
2627200000102,Restaurante
2627530000190,Restaurante
2629132000102,Restaurante
2633083000181,Restaurante
2634678000151,Restaurante
2636862000130,Restaurante
2637777000197,Restaurante
2637777000782,Restaurante
2637777000863,Restaurante
2637777000944,Restaurante
2637777001088,Restaurante
2637777001169,Restaurante
2637777001240,Restaurante
2643287000101,Restaurante
2645436000163,Restaurante
2645538000189,Restaurante
2648788000172,Restaurante
2653124000100,Restaurante
2653205000100,Restaurante
2653567000192,Restaurante
2661074000102,Restaurante
2663391000150,Restaurante
2670769000142,Restaurante
2679357000173,Restaurante
2681903000100,Restaurante
2683600000127,Cafeteria
2683893000142,Restaurante
2686933000100,Restaurante
2686933000452,Restaurante
2700119000100,Restaurante
2701199000100,Restaurante
2702340000190,Restaurante
2703510000150,Restaurante
2704954000100,Restaurante
2705189000143,Restaurante
2707140000120,Restaurante
2707140000200,Restaurante
2708381000193,Bar
2709730000191,Restaurante
2717608000167,Restaurante
2722678000294,Restaurante
2726094000106,Restaurante
2726324000137,Restaurante
2726324000307,Restaurante
2726324000480,Restaurante
2726324000560,Restaurante
2726324000641,Restaurante
2728754000198,Restaurante
2730645000105,Restaurante
2730658000184,Restaurante
2731476000128,Restaurante
2738683000104,Restaurante
2742263000100,Restaurante
2743172000180,Restaurante
2743676000109,Restaurante
2744606000167,Restaurante
2749926000100,Restaurante
2749926000290,Similar
2749926000371,Similar
2749926000452,Restaurante
2749926000614,Similar
2749926000703,Similar
2749926000886,Restaurante
2749926000967,Similar
2749926001009,Restaurante
2749926001181,Restaurante
2749926001262,Restaurante
2749926001424,Restaurante
2750945000156,Similar
2752622000100,Restaurante
2754147000100,Restaurante
2754732000100,Restaurante
2757474000531,Restaurante
2759189000126,Restaurante
2763385000174,Restaurante
2771282000156,Bar
2772532000172,Restaurante
2774492000106,Similar
2775869000133,Restaurante
2776596000141,Restaurante
2779363000100,Similar
2779787000167,Cafeteria
2780804000186,Restaurante
2783664000108,Cafeteria
2788189000154,Restaurante
2789588000130,Bar
2792494000110,Restaurante
2793899000172,Restaurante
2797100000116,Restaurante
2800043000187,Restaurante
2800448000115,Restaurante
2800486000178,Cafeteria
2801820000108,Similar
2814103000110,Restaurante
2834073000104,Restaurante
2834334000196,Bar
2839603000107,Restaurante
2843906000101,Restaurante
2844511000115,Restaurante
2844511000387,Restaurante
2851137000185,Cafeteria
2853946000126,Restaurante
2855949000107,Restaurante
2855949000360,Restaurante
2855949000441,Restaurante
2855949000522,Restaurante
2861681000108,Restaurante
2861681000299,Restaurante
2867819000186,Restaurante
2876218000130,Restaurante
2876218000563,Restaurante
2876218000644,Restaurante
2880351000160,Restaurante
2883035000141,Restaurante
2883113000108,Cafeteria
2887906000103,Restaurante
2891567000120,Restaurante
2892193000168,Restaurante
2892222000191,Restaurante
2898342000104,Similar
2899513000101,Similar
2900638000104,Restaurante
2905110011405,Restaurante
2907096000100,Cafeteria
2910194000198,Restaurante
2911327000140,Restaurante
2914457000137,Restaurante
2918194000134,Restaurante
2922293000270,Restaurante
2924129000111,Restaurante
2929362000197,Restaurante
2930800000137,Restaurante
2931017000198,Restaurante
2933463000131,Bar
2933954000182,Restaurante
2940991000118,Bar
2944802000185,Restaurante
2949624000185,Restaurante
2950754000138,Similar
2962475000194,Restaurante
2965098000147,Restaurante
2967041000187,Restaurante
2967526000170,Restaurante
2969752000190,Restaurante
2970400000155,Similar
2970642000149,Similar
2978166000102,Similar
2986561000137,Restaurante
2989735000115,Similar
2991573000150,Restaurante
2992029000122,Restaurante
2993356000107,Similar
3000333000109,Restaurante
3000333000290,Restaurante
3000333000370,Restaurante
3000333000451,Restaurante
3000333000532,Restaurante
3007458000160,Restaurante
3010671000121,Restaurante
3011985000149,Restaurante
3020635000149,Cafeteria
3029640000112,Similar
3030762000129,Bar
3031912000119,Restaurante
3035836000110,Restaurante
3035836001000,Restaurante
3041631000147,Similar
3042206000172,Restaurante
3047386000185,Restaurante
3057875000118,Restaurante
3065303000180,Restaurante
3067780000185,Restaurante
3069059001104,Restaurante
3069726000179,Restaurante
3072365000110,Restaurante
3076198000185,Restaurante
3083296000140,Restaurante
3090571000152,Restaurante
3094601000107,Similar
3094957000132,Restaurante
3096787000125,Restaurante
3103698000169,Similar
3103932000158,Bar
3106463000120,Restaurante
3110894000160,Restaurante
3111816000180,Similar
3113970000191,Cafeteria
3114885000148,Restaurante
3116607000120,Restaurante
3116607000804,Restaurante
3116607001010,Restaurante
3116607001100,Restaurante
3116607001282,Restaurante
3116607001525,Restaurante
3116607001797,Restaurante
3116607002092,Restaurante
3117840000127,Restaurante
3118057000188,Similar
3119648000170,Restaurante
3119648000250,Restaurante
3120020000194,Restaurante
3123757000160,Restaurante
3129872000142,Cafeteria
3136532000149,Restaurante
3138043000126,Restaurante
3140338000137,Restaurante
3143650000184,Restaurante
3146491000171,Restaurante
3152315000142,Cafeteria
3164205000109,Restaurante
3172061000124,Restaurante
3172111000173,Similar
3177784000116,Restaurante
3185546000152,Restaurante
3200781000156,Restaurante
3208511000191,Restaurante
3210287000172,Restaurante
3210755000109,Restaurante
3216534000148,Restaurante
3216572000109,Bar
3218681000157,Restaurante
3220173000103,Restaurante
3220301000119,Restaurante
3221095000242,Restaurante
3221095000323,Restaurante
3221095000404,Restaurante
3221095000676,Restaurante
3221095000757,Restaurante
3221095000838,Restaurante
3221095000919,Restaurante
3221095001052,Restaurante
3221095001133,Restaurante
3221095001303,Similar
3223918000198,Bar
3227737000130,Restaurante
3229061000113,Restaurante
3230547000171,Similar
3238312000126,Restaurante
3242459000190,Restaurante
3243951000180,Restaurante
3244945000147,Restaurante
3245445000120,Restaurante
3246670000180,Cafeteria
3247636000120,Restaurante
3247760000196,Restaurante
3247760000277,Restaurante
3247760000358,Restaurante
3247760000510,Restaurante
3252773000153,Restaurante
3255668000178,Restaurante
3257681000166,Restaurante
3266748000129,Restaurante
3269803000134,Similar
3278200000107,Similar
3278582000160,Restaurante
3279576000128,Similar
3280352000136,Restaurante
3289420000128,Similar
3290681000168,Bar
3293606000150,Restaurante
3296030000185,Restaurante
3296517000168,Restaurante
3306282000148,Restaurante
3313520000142,Similar
3316854000170,Bar
3317577000110,Restaurante
3317634000160,Restaurante
3317828000166,Restaurante
3318477000108,Restaurante
3318703000150,Restaurante
3319435000191,Similar
3322045000170,Restaurante
3324521000192,Restaurante
3325394000146,Restaurante
3327191000199,Restaurante
3327197000166,Restaurante
3327197000409,Restaurante
3327197000590,Restaurante
3345935000106,Restaurante
3347889000176,Restaurante
3349324000128,Restaurante
